,tweet_id,year,country_code,known,is_event,unrest,timing,sentiment,topic,particiation
0,1000117202144649218,2018.0,LY,False,nonspecific,yes,current,neither,yes,neither
1,1000264516750503936,2018.0,TZ,False,no,yes,,,,
2,1000282371067928576,2018.0,KH,False,specific,yes,current,oppose,no,neither
3,1000534824006901761,2018.0,ML,False,no,no,,,,
4,1000775166312501248,2018.0,UG,False,no,no,,,,
5,1000810802763517958,2018.0,TN,False,no,no,,,,
6,1001150685533167617,2018.0,GH,False,no,no,,,,
7,1001384003960823808,2018.0,NP,False,notenglish,no,,,,
8,1001528031016636416,2018.0,SO,False,nonspecific,yes,,,,
9,1001750595458433024,2018.0,BI,False,no,no,,,,
10,1001907488420188160,2018.0,SL,False,no,no,,,,
11,1002198727740874752,2018.0,TG,False,no,yes,,,,
12,1003339520174166016,2018.0,ML,False,no,no,,,,
13,1003532831920918529,2018.0,ZM,False,no,no,,,,
14,1003595216991944705,2018.0,LY,False,nonspecific,yes,current,support,yes,yes
15,1003637330157027331,2018.0,MM,False,no,yes,,,,
16,1003726634569093122,2018.0,TG,False,no,no,,,,
17,1003740395510161408,2018.0,PK,False,no,yes,,,,
18,1003871298861391872,2018.0,MW,False,no,no,,,,
19,1004015084283289606,2018.0,BI,False,no,yes,,,,
20,1004456247280766976,2018.0,SO,False,no,no,,,,
21,1004550877296852994,2018.0,LY,False,nonspecific,yes,,,,
22,1004756312729817088,2018.0,AO,False,no,yes,,,,
23,1004922453641039872,2018.0,TD,False,no,yes,,,,
24,1005056082199371778,2018.0,MG,False,no,yes,,,,
25,1005067542266667008,2018.0,LY,False,no,no,,,,
26,1005156853486096384,2018.0,NG,False,no,no,,,,
27,1005162798949851136,2018.0,NE,False,nonspecific,yes,,support,yes,neither
28,1005328099385495552,2018.0,BF,False,no,yes,,,,
29,1005333382954389504,2018.0,BF,False,no,yes,,,,
30,1005727028941815813,2018.0,BF,False,no,yes,,,,
31,1005730427674374151,2018.0,KH,False,no,yes,,,,
32,1006140146092306432,2018.0,ET,False,specific,yes,current,neither,yes,neither
33,1006157805915721728,2018.0,TZ,False,no,no,,,,
34,1006297822721912833,2018.0,LY,False,no,no,,,,
35,1006424068025978883,2018.0,MW,False,no,yes,,,,
36,1006471516324851713,2018.0,TG,False,no,no,,,,
37,1006759207838810113,2018.0,TH,False,no,yes,,,,
38,1006901052615077888,2018.0,EG,False,specific,yes,past,neither,no,neither
39,1006909114813906945,2018.0,DZ,False,no,no,,,,
40,1007152302455705602,2018.0,ET,False,no,yes,,,,
41,1007269491347161089,2018.0,ZA,False,no,yes,,,,
42,1007414505792573440,2018.0,SD,False,no,no,,,,
43,1007703264278835201,2018.0,NG,False,no,no,,,,
44,1007811525216698368,2018.0,EG,False,no,no,,,,
45,1007855217629646848,2018.0,GH,False,no,no,,,,
46,1007968370220773376,2018.0,GH,False,no,yes,,,,
47,1007994468476149763,2018.0,KH,False,no,yes,,,,
48,1008076748775358465,2018.0,LR,False,no,yes,,,,
49,1008646261547905030,2018.0,UG,False,no,no,,,,
50,1008717459426340867,2018.0,TG,False,no,no,,,,
51,1008721320736063488,2018.0,NE,False,no,yes,,,,
52,1008728535777841152,2018.0,MA,False,no,no,,,,
53,1008742823070294016,2018.0,NP,False,no,no,,,,
54,1008982529695764480,2018.0,ZA,True,nonspecific,no,,neither,yes,neither
55,1009032328109281281,2018.0,NG,False,no,no,,,,
56,1009046417120243713,2018.0,MM,False,nonspecific,yes,,neither,no,neither
57,1009318423485190149,2018.0,NE,False,no,no,,,,
58,1009510685695504384,2018.0,MA,False,nonspecific,yes,current,oppose,yes,yes
59,1009992086035165184,2018.0,MM,False,no,no,,,,
60,1010155184142651392,2018.0,ZA,False,no,no,,,,
61,1010173318375333889,2018.0,TZ,False,no,no,,,,
62,1010245210343985153,2018.0,SN,False,no,no,,,,
63,1010518193939603457,2018.0,ZA,True,nonspecific,yes,future,support,yes,neither
64,1010559750155710464,2018.0,BF,False,no,no,,,,
65,1010853770354294784,2018.0,KH,False,specific,yes,current,neither,yes,neither
66,1010933023855046656,2018.0,BI,False,no,no,,,,
67,1010997034315329537,2018.0,DZ,False,no,no,,,,
68,1011135908723265536,2018.0,BF,False,no,yes,,,,
69,1011241506718568450,2018.0,MG,False,no,yes,,,,
70,1011246627527516160,2018.0,MG,False,no,yes,,,,
71,1011478240521871361,2018.0,MA,False,no,yes,,,,
72,1011686864405876737,2018.0,GN,False,specific,yes,future,support,yes,yes
73,1011692557938634757,2018.0,ML,False,no,no,,,,
74,1012128800686174208,2018.0,SO,False,no,yes,,,,
75,1012262428342661120,2018.0,BF,False,no,yes,,,,
76,1012340917410369536,2018.0,ZM,False,no,no,,,,
77,1012532522058731521,2018.0,CF,False,no,no,,,,
78,1012582571887210496,2018.0,BF,False,no,yes,,,,
79,1012583120846184449,2018.0,BF,False,no,yes,,,,
80,1012591619823034368,2018.0,ET,False,no,yes,,,,
81,1012607248198242304,2018.0,MG,False,no,no,,,,
82,1013060042621358080,2018.0,ZA,False,no,yes,,,,
83,1013121679734857728,2018.0,MA,False,no,no,,,,
84,1013218016639758336,2018.0,TD,False,no,no,,,,
85,1013673583313391616,2018.0,BF,False,no,yes,,,,
86,1013792635746648064,2018.0,SN,False,no,no,,,,
87,1013897517342384128,2018.0,BJ,False,no,yes,,,,
88,1013935287515385859,2018.0,BI,False,no,no,,,,
89,1014043892604461062,2018.0,ZA,False,no,yes,,,,
90,1014256192778956800,2018.0,TH,False,no,yes,,,,
91,1014393788675100672,2018.0,BI,False,no,no,,,,
92,1014408920729825281,2018.0,NG,False,no,no,,,,
93,1014482709882855426,2018.0,GN,False,no,no,,,,
94,1014574517728014336,2018.0,KE,False,no,yes,,,,
95,1014588650099748865,2018.0,GN,False,no,yes,,,,
96,1014655804383916034,2018.0,GH,False,no,no,,,,
97,1015119388733792256,2018.0,MW,False,no,yes,,,,
98,1015835969948397570,2018.0,SO,False,no,no,,,,
99,1016023188935827456,2018.0,ET,False,nonspecific,yes,current,oppose,no,neither
100,1016703322156253184,2018.0,TH,False,no,no,,,,
101,1016741139947368448,2018.0,DZ,False,specific,yes,current,oppose,unclear,neither
102,1016780584125980682,2018.0,KE,True,nonspecific,yes,current,support,no,yes
103,1016795276273692679,2018.0,ZA,True,nonspecific,yes,current,support,unclear,neither
104,1017142809764253696,2018.0,PK,True,specific,yes,current,support,yes,neither
105,1017434583686635520,2018.0,,False,no,no,,,,
106,1017549805067915266,2018.0,MA,False,no,no,,,,
107,1017764451989110785,,,True,no,no,,,,
108,1017804479494840000,,,True,specific,yes,current,support,yes,neither
109,1017955778009976834,2018.0,SL,False,no,yes,,,,
110,1018078308486078465,2018.0,NG,False,nonspecific,yes,current,support,no,yes
111,1018155804585840640,2018.0,SO,False,specific,yes,current,oppose,no,no
112,1018180547724574725,2018.0,ZA,False,no,no,,,,
113,1018423344650059777,2018.0,LK,False,specific,yes,current,neither,yes,neither
114,1018542798201638912,2018.0,NE,False,no,no,,,,
115,1018943006014140418,2018.0,SN,False,no,no,,,,
116,1018992391393628160,2018.0,SD,False,no,no,,,,
117,1019141507792687104,2018.0,BJ,False,nonspecific,yes,current,support,unclear,yes
118,1019465434012291072,2018.0,TN,False,no,yes,,,,
119,1019596358355861504,2018.0,TH,False,no,no,,,,
