tweet_id,label
1000117202144649218,1
1000264516750503936,1
1000282371067928576,1
1000534824006901761,0
1000775166312501248,0
1000810802763517958,0
1001150685533167617,0
1001384003960823808,0
1001528031016636416,1
1001750595458433024,0
1001907488420188160,0
1002198727740874752,1
1003339520174166016,0
1003532831920918529,0
1003595216991944705,1
1003637330157027331,1
1003726634569093122,0
1003740395510161408,1
1003871298861391872,0
1004015084283289606,1
1004456247280766976,0
1004550877296852994,1
1004756312729817088,1
1004922453641039872,1
1005056082199371778,1
1005067542266667008,0
1005156853486096384,0
1005162798949851136,1
1005328099385495552,1
1005333382954389504,1
1005727028941815813,1
1005730427674374151,1
1006140146092306432,1
1006157805915721728,0
1006297822721912833,0
1006424068025978883,1
1006471516324851713,0
1006759207838810113,1
1006901052615077888,1
1006909114813906945,0
1007152302455705602,1
1007269491347161089,1
1007414505792573440,0
1007703264278835201,0
1007811525216698368,0
1007855217629646848,0
1007968370220773376,1
1007994468476149763,1
1008076748775358465,1
1008646261547905030,0
1008717459426340867,0
1008721320736063488,1
1008728535777841152,0
1008742823070294016,0
1008982529695764480,1
1009032328109281281,0
1009046417120243713,1
1009318423485190149,0
1009510685695504384,1
1009992086035165184,0
1010155184142651392,0
1010173318375333889,0
1010245210343985153,0
1010518193939603457,1
1010559750155710464,0
1010853770354294784,1
1010933023855046656,0
1010997034315329537,0
1011135908723265536,1
1011241506718568450,1
1011246627527516160,1
1011478240521871361,1
1011686864405876737,1
1011692557938634757,0
1012128800686174208,1
1012262428342661120,1
1012340917410369536,0
1012532522058731521,0
1012582571887210496,1
1012583120846184449,1
1012591619823034368,1
1012607248198242304,0
1013060042621358080,1
1013121679734857728,0
1013218016639758336,0
1013673583313391616,1
1013792635746648064,0
1013897517342384128,1
1013935287515385859,0
1014043892604461062,1
1014256192778956800,1
1014393788675100672,0
1014408920729825281,0
1014482709882855426,0
1014574517728014336,1
1014588650099748865,1
1014655804383916034,0
1015119388733792256,1
1015835969948397570,0
1016023188935827456,1
1016703322156253184,0
1016741139947368448,1
1016780584125980682,1
1016795276273692679,1
1017142809764253696,1
1017434583686635520,0
1017549805067915266,0
1017764451989110785,0
1017804479494840000,1
1017955778009976834,1
1018078308486078465,1
1018155804585840640,1
1018180547724574725,0
1018423344650059777,1
1018542798201638912,0
1018943006014140418,0
1018992391393628160,0
1019141507792687104,1
1019465434012291072,1
1019596358355861504,0
1019951189503369216,0
1020336528365686786,0
1020372490206564353,1
1020529615444611072,1
1020661971388108805,0
1020720731452297226,0
1020980005105537025,0
1020982267840167937,1
1021068746029400064,1
1021118083686195200,0
1021494398901731328,0
1021503638022356992,0
1021764132763299840,0
1021876240230305805,0
1022595473813774336,1
1022652706534477824,1
1022982627983323141,1
1023228885998002176,0
1023333729756950529,0
1023493530348670977,0
1023794279074988032,1
1023890456298577920,1
1023963339460894723,0
1023981829487910917,0
1023984622387036160,1
1023984863869853696,1
1023985951327105025,1
1024025114525032448,1
1024036884060794885,1
1024181989912526848,1
1024307052049559553,1
1024574122511290368,1
1024868779862327296,1
1024949113702572037,1
1024954513289953280,1
1024983189692055552,1
1025009295388160000,1
1025028143961309184,1
1025391819255947264,0
1025630485022732288,0
1025638865086951425,0
1025755299649675264,1
1025765354830737408,0
1025767045000921088,0
1025803447726034945,1
1025842457949351936,1
1026055375781384193,1
1026124323373895686,0
1026172486105198592,1
1026200691004583936,1
1026368107089199105,1
1026546073920143360,1
1026803917005488128,0
1026832378164125697,0
1026855290849910784,1
1027162828237692929,0
1027366333946777602,0
1027468658178551808,1
1027518585898496001,1
1027567576900136960,0
1027568349591621633,0
1027798255990657025,1
1027825427111469056,1
1027825787502833664,0
1028525416435208193,0
1028541573749981184,1
1028562589016616960,0
1028602205308440577,0
1028602580606377984,0
1028608782157242368,0
1028681117975695360,0
1028855235345674240,0
1028925240511025153,0
1028941561269108737,0
1029057997828501504,1
1029071131653722115,0
1029082751306223617,0
1029232927069163520,1
1029715958628315136,0
1029836333190209536,0
1029929924721819648,0
1030006243572805633,0
1030093531501797376,1
1030168567688376320,0
1030515244819460096,1
1030538151616569344,1
1030828565347098625,1
1031172735844663296,1
1031174717531725826,0
1031230978293997568,1
1031273375786840069,0
1031550904753958912,0
1031580814012755968,0
1031605614487773185,1
1031616117826105347,1
1031720129523081216,0
1031781171322122240,0
1032211501287919616,1
1032237923213758464,1
1032244271418667010,0
1032253128937287680,1
1032344728212127745,0
1032577486213791744,0
1032678031222075392,0
1032842309824655360,0
1033039339305857024,0
1033333884795019264,1
1033534859292102657,0
1034140272672817157,0
1034170717758214145,1
1034184928639021057,1
1034325404658671616,1
1034474202739298305,1
1034582032872087553,0
1034648367559835649,1
1034772802044354561,0
1034822976657666048,1
1035275638838571008,0
1035376934883090432,0
1035380800152326144,0
1035395615017127936,1
1035412249475612672,0
1035678354849062914,0
1035830612572229632,1
1035876369048035328,1
1035934604190994438,0
1036029027302170624,0
1037045568219082753,1
1037250209770872834,1
1037344955616960514,1
1037387898839019520,1
1037444198696448003,0
1037565328593702912,0
1037639403450126336,1
1038085613432594433,1
1038088588460740608,1
